Authors,Year,Title,Journal/Book,Volume,Pages,Notes
"Bussgang, JJ",1952,Cross-correlation functions of amplitude-distorted Gaussian signals,MIT Research Laboratory for Electronic Technology Report,216,1-14,
"Cajal, S Ramon y",1911,Histologie du Systeme Nerveux de l'Homme et des Vertebres,,,,Paris: Maloine
"Campbell, FW; Gubisch, RW",1966,Optical quality of the human eye,Journal of Physiology,186,558-578,
"Carandini, M; Heeger, DJ; Movshon, JA",1996,Linearity and gain control in V1 simple cells,,,,In Cerebral Cortex Vol. 10. New York: Plenum Press
"Carandini, M; Ringach, DL",1997,Predictions of a recurrent model of orientation selectivity,Vision Research,37,3061-3071,
"Carpenter, GA; Grossberg, S",1991,Pattern Recognition by Self-Organizing Neural Network,,,,"Cambridge, MA: MIT Press"
"Chance, FS",2000,Modeling Cortical Dynamics and the Responses of Neurons in the Primary Visual Cortex,,,,"Ph.D. dissertation, Brandeis University"
"Chance, FS; Nelson, SB; Abbott, LF",1998,Synaptic depression and the temporal response characteristics of V1 simple cells,Journal of Neuroscience,18,4785-4799,
"Chance, FS; Nelson, SB; Abbott, LF",1999,Complex cells as cortically amplified simple cells,Nature Neuroscience,2,277-282,
"Chauvin, Y; Rumelhart, DE",1995,"Back Propagation: Theory, Architectures, and Applications",,,,"Hillsdale, NJ: Erlbaum"
"Churchland, PS; Sejnowski, TJ",1992,The Computational Brain,,,,"Cambridge, MA: MIT Press"
"Cohen, MA; Grossberg, S",1983,Absolute stability of global pattern formation and parallel memory storage by competitive neural networks,"IEEE Transactions on Systems, Man, and Cybernetics",13,815-826,
"Compte, A; Brunel, N; Goldman-Rakic, PS; Wang, XJ",2000,Synaptic mechanisms and network dynamics underlying spatial working memory in a cortical network model,Cerebral Cortex,10,910-923,
"Connor, JA; Stevens, CF",1971,Prediction of repetitive firing behaviour from voltage clamp data on an isolated neurone soma,Journal of Physiology,213,31-53,
"Connor, JA; Walter, D; McKown, R",1977,Neural repetitive firing: modifications of the Hodgkin-Huxley axon suggested by experimental results from crustacean axons,Biophysical Journal,18,81-102,
"Cover, TM",1965,Geometrical and statistical properties of systems of linear inequalities with application in pattern recognition,IEEE Transactions on Electronic Computers,EC14,326-334,
"Cover, TM; Thomas, JA",1991,Elements of Information Theory,,,,New York: Wiley
"Cox, DR",1962,Renewal Theory,,,,London: Methuen; New York: Wiley
"Cox, DR; Hinckley, DV",1974,Theoretical Statistics,,,,London: Chapman & Hall
"Cox, DR; Isham, V",1980,Point Processes,,,,New York: Chapman & Hall
"Crair, MC; Gillespie, DC; Stryker, MP",1998,The role of visual experience in the development of columns in cat visual cortex,Science,279,566-570,
"Crowley, JC; Katz, LC",1999,Development of ocular dominance columns in the absence of retinal input,Nature Neuroscience,2,1125-1130,
"Dan, Y; Atick, JJ; Reid, RC",1996,Efficient coding of natural scenes in the lateral geniculate nucleus: Experimental test of a computational theory,Journal of Neuroscience,16,3351-3362,
"Daubechies, I",1992,Ten Lectures on Wavelets,,,,Philadelphia: SIAM
"Daubechies, I; Grossmann, A; Meyer, Y",1986,Painless nonorthogonal expansions,Journal of Mathematical Physics,27,1271-1283,
"Daugman, JG",1985,"Uncertainty relation for resolution in space, spatial frequency, and orientation optimization by two-dimensional visual cortical filters",Journal of the Optical Society of America,2,1160-1169,
"Dayan, P; Hinton, GE; Neal, RM; Zemel, RS",1995,The Helmholtz machine,Neural Computation,7,889-904,
"DeAngelis, GC; Ohzawa, I; Freeman, RD",1995,Receptive field dynamics in the central visual pathways,Trends in Neuroscience,18,451-458,
"Dempster, AP; Laird, NM; Rubin, DB",1977,Maximum likelihood from incomplete data via the EM algorithm,Journal of the Royal Statistical Society,B39,1-38,
"Destexhe, A; Mainen, Z; Sejnowski, T",1994,"Synthesis of models for excitable membranes, synaptic transmission and neuromodulation using a common kinetic formalism",Journal of Computational Neuroscience,1,195-230,
"De Valois, RL; De Valois, KK",1990,Spatial Vision,,,,New York: Oxford University Press
"Dickinson, A",1980,Contemporary Animal Learning Theory,,,,Cambridge: Cambridge University Press
"Dong, DW; Atick, JJ",1995,Temporal decorrelation: A theory of lagged and nonlagged responses in the lateral geniculate nucleus,Network: Computation in Neural Systems,6,159-178,
"Douglas, RJ; Koch, C; Mahowald, M; Martin, KAC; Suarez, HH",1995,Recurrent excitation in neocortical circuits,Science,269,981-985,
"Douglas, RJ; Martin, KAC",1998,Neocortex,,,459-509,"In GM Shepherd, ed., The Synaptic Organisation of the Brain. Oxford: Oxford University Press"
"Dowling, JE",1987,The Retina: An Approachable Part of the Brain,,,,"Cambridge, MA: Bellknap Press"
"Dowling, JE",1992,An Introduction to Neuroscience,,,,"Cambridge, MA: Bellknap Press"
"Duda, RO; Hart, PE",1973,Pattern Classification and Scene Analysis,,,,New York: Wiley
"Duda, RO; Hart, PE; Stork, DG",2000,Pattern Classification,,,,New York: Wiley
"Durbin, R; Mitchison, G",1990,A dimension reduction framework for cortical maps,Nature,343,644-647,
"Durbin, R; Willshaw, DJ",1987,An analogue approach to the travelling salesman problem using an elastic net method,Nature,326,689-691,
"Edelstein-Keshet, L",1988,Mathematical Models in Biology,,,,New York: Random House
"Engel, AK; Konig, P; Singer, W",1991,Direct physiological evidence for scene segmentation by temporal coding,Proceedings of the National Academy of Sciences USA,88,9136-9140,
"Enroth-Cugell, C; Robson, JG",1966,The contrast sensitivity of retinal ganglion cells of the cat,Journal of Physiology,187,517-522,
"Ermentrout, GB",1998,Neural networks as spatio-temporal pattern-forming systems,Reports on Progress in Physics,64,353-430,
"Ermentrout, GB; Cowan, J",1979,A mathematical theory of visual hallucination patterns,Biological Cybernetics,34,137-150,
"Erwin, E; Obermayer, K; Schulten, K",1995,Models of orientation and ocular dominance columns in the visual cortex: A critical comparison,Neural Computation,7,425-468,
"Everitt, BS",1984,An Introduction to Latent Variable Models,,,,London: Chapman & Hall
"Feller, W",1968,An Introduction to Probability Theory and Its Application,,,,New York: Wiley
"Ferster, D",1994,Linearity of synaptic interactions in the assembly of receptive fields in cat visual cortex,Current Opinion in Neurobiology,4,563-568,
"Field, DJ",1987,Relations between the statistics of natural images and the response properties of cortical cells,Journal of the Optical Society of America,A4,2379-2394,
"Field, DJ",1994,What is the goal of sensory coding?,Neural Computation,6,559-601,
"Foldiak, P",1989,Adaptive network for optimal linear feature extraction,,,401-405,In Proceedings of the IEEE/INNS IJCNN
"Foldiak, P",1991,Learning invariance from transformed sequences,Neural Computation,3,194-200,
"Foster, DJ; Morris, RGM; Dayan, P",2000,Models of hippocampally dependent navigation using the temporal difference learning rule,Hippocampus,10,1-16,
"Freeman, WJ; Schneider, W",1982,Changes in spatial patterns of rabbit olfactory EEG with conditioning to odors,Psychophysiology,19,44-56,
"Friston, KJ; Tononi, G; Reeke, GN Jr; Sporns, O; Edelman, GM",1994,Value-dependent selection in the brain: Simulation in a synthetic neural model,Neuroscience,59,229-243,
"Fuster, JM",1995,Memory in the Cerebral Cortex,,,,"Cambridge, MA: MIT Press"
"Gabbiani, F; Koch, C",1998,Principles of spike train analysis,,,313-360,"In C Koch & I Segev, eds., Methods of Neuronal Modeling. Cambridge, MA: MIT Press"
"Gabbiani, F; Metzner, W; Wessel, R; Koch, C",1996,From stimulus encoding to feature extraction in weakly electric fish,Nature,384,564-567,
"Gabor, D",1946,Theory of communication,Journal of the Institution of Electrical Engineers,93,429-457,
"Gabriel, M; Moore, JW",1990,Learning and Computational Neuroscience,,,,"Cambridge, MA: MIT Press"
"Gallistel, CR",1990,The Organization of Learning,,,,"Cambridge, MA: MIT Press"
"Gallistel, CR; Gibbon, J",2000,"Time, rate and conditioning",Psychological Review,107,289-344,
"Georgopoulos, AP; Kalaska, JF; Caminiti, R; Massey, JT",1982,On the relations between the directions of two-dimensional arm movements and cell discharge in primate motor cortex,Journal of Neuroscience,2,1527-1537,
"Georgopoulos, AP; Kettner, RE; Schwartz, AB",1988,Primate motor cortex and free arm movements to visual targets in three-dimensional space. II.,Neuroscience,8,2928-2937,
"Georgopoulos, AP; Schwartz, AB; Kettner, RE",1986,Neuronal population coding of movement direction,Science,243,1416-1419,
"Gershenfeld, NA",1999,The Nature of Mathematical Modeling,,,,Cambridge: Cambridge University Press
"Gerstner, W",1998,Spiking neurons,,,3-54,"In W Maass & CM Bishop, eds., Pulsed Neural Networks. Cambridge, MA: MIT Press"
"van Gisbergen, JAM; Van Opstal, AJ; Tax, AMM",1987,Collicular ensemble coding of saccades based on vector summation,Neuroscience,21,541-555,
"Gluck, MA; Reifsnider, ES; Thompson, RF",1990,Adaptive signal processing and the cerebellum,,,131-185,"In Neuroscience and Connectionist Theory. Hillsdale, NJ: Erlbaum"
"Gluck, MA; Rumelhart, DE",1990,Neuroscience and Connectionist Theory,,,,"Hillsdale, NJ: Erlbaum"
"Goldman-Rakic, PS",1994,Cellular basis of working memory,Neuron,14,477-485,
"Goodall, MC",1960,Performance of a stochastic net,Nature,185,557-558,
"Goodhill, GJ",1993,Topography and ocular dominance: A model exploring positive correlations,Biological Cybernetics,69,109-118,
"Goodhill, GJ; Richards, LJ",1999,"Retinotectal maps: Molecules, models and misplaced data",Trends in Neuroscience,22,529-534,
"Goodhill, GJ; Willshaw, DJ",1990,Application of the elastic net algorithm to the formation of ocular dominance stripes,Network: Computation in Neural Systems,1,41-61,
"Graham, NVS",1989,Visual Pattern Analyzers,,,,New York: Oxford University Press
"Graziano, MSA; Hu, XT; Gross, CG",1997,Visuospatial properties of ventral premotor cortex,Journal of Neurophysiology,77,2268-2292,
"Green, DM; Swets, JA",1966,Signal Detection Theory and Psychophysics,,,,"Los Altos, CA: Peninsula Publishing"
"Grenander, U",1995,Elements of Pattern Theory,,,,Baltimore: Johns Hopkins University Press
"Grossberg, S",1982,Processing of expected and unexpected events during conditioning and attention,Psychological Review,89,529-572,
"Grossberg, S",1987,The Adaptive Brain. Vols. 1 and 2,,,,Amsterdam: Elsevier
"Grossberg, S",1988,Neural Networks and Natural Intelligence,,,,"Cambridge, MA: MIT Press"
"Grossberg, S; Schmajuk, NA",1989,Neural dynamics of adaptive timing and temporal discrimination during associative learning,Neural Networks,2,79-102,
"Haberly, LB",1990,Olfactory cortex,,,,"In GM Shepherd, ed., The Synaptic Organization of the Brain. New York: Oxford University Press"
"Hahnloser, RH; Sarpeshkar, R; Mahowald, MA; Douglas, RJ; Seung, HS",2000,Digital selection and analogue amplification coexist in a cortex-inspired silicon circuit,Nature,405,947-951,
"Hammer, M",1993,An identified neuron mediates the unconditioned stimulus in associative olfactory learning in honeybees,Nature,336,59-63,
"van Hateren, JH",1992,A theory of maximizing sensory information,Biological Cybernetics,68,23-29,
"van Hateren, JH",1993,Three modes of spatiotemporal preprocessing by eyes,Journal of Comparative Physiology,A172,583-591,
"Hebb, DO",1949,The Organization of Behavior: A Neuropsychological Theory,,,,New York: Wiley
"Heeger, DJ",1992,Normalization of cell responses in cat striate cortex,Visual Neuroscience,9,181-198,
"Heeger, DJ",1993,"Modeling simple-cell direction selectivity with normalized, half-squared, linear operators",Journal of Neurophysiology,70,1885-1898,
"Henry, GH; Dreher, B; Bishop, PO",1974,Orientation specificity of cells in cat striate cortex,Journal of Neurophysiology,37,1394-1409,
"Herrault, J; Jutten, C",1986,Space or time adaptive signal processing by neural networks,,,,"In JS Denker, ed., Neural Networks for Computing. New York: American Institute for Physics"
"Hertz, J; Krogh, A; Palmer, RG",1991,Introduction to the Theory of Neural Computation,,,,"Redwood City, CA: Addison-Wesley"
"Hille, B",1992,Ionic Channels of Excitable Membranes,,,,"Sunderland, MA: Sinauer Associates"
"Hines, ML",1984,Efficient computation of branched nerve equations,International Journal of Biomedical Computation,15,69-76,
"Hines, ML; Carnevale, NT",1997,The NEURON simulation environment,Neural Computation,9,1179-1209,
"Hinton, GE",1981,Shape representation in parallel systems,,,1088-1096,In Proceedings of the Seventh IJCAI
"Hinton, GE",1984,Distributed Representations,,,,Technical report CMU-CS-84-157
"Hinton, GE",1989,Connectionist learning procedures,Artificial Intelligence,40,185-234,
"Hinton, GE",2000,Training Products of Experts by Minimizing Contrastive Divergence,,,,"Gatsby Computational Neuroscience Unit, technical report 2000-004"
"Hinton, GE; Dayan, P; Frey, BJ; Neal, RM",1995,The wake-sleep algorithm for unsupervised neural networks,Science,268,1158-1160,
"Hinton, GE; Ghahramani, Z",1997,Generative models for discovering sparse distributed representations,Philosophical Transactions of the Royal Society of London,B352,1177-1190,
"Hinton, GE; Sejnowski, TJ",1986,Learning and relearning in Boltzmann machines,,,282-317,"In Parallel Distributed Processing Vol. 1. Cambridge, MA: MIT Press"
"Hinton, GE; Zemel, RS",1994,"Autoencoders, minimum description length and Helmholtz free energy",,,3-10,In Advances in Neural Information Processing Systems 6
"Hodgkin, AL; Huxley, AF",1952,A quantitative description of membrane current and its application to conduction and excitation in nerve,Journal of Physiology,117,500-544,
"Holt, GR; Softky, GW; Koch, C; Douglas, RJ",1996,Comparison of discharge variability in vitro and in vivo in cat visual cortex neurons,Journal of Neurophysiology,75,1806-1814,
"Hopfield, JJ",1982,Neural networks and systems with emergent selective computational abilities,Proceedings of the National Academy of Sciences USA,79,2554-2558,
"Hopfield, JJ",1984,Neurons with graded response have collective computational properties like those of two-state neurons,Proceedings of the National Academy of Sciences USA,81,3088-3092,
"Houk, JC; Adams, JL; Barto, AG",1995,A model of how the basal ganglia generate and use neural signals that predict reinforcement,,,249-270,"In Models of Information Processing in the Basal Ganglia. Cambridge, MA: MIT Press"
"Houk, JC; Davis, JL; Beiser, DG",1995,Models of Information Processing in the Basal Ganglia,,,,"Cambridge, MA: MIT Press"
"Hubel, DH",1988,"Eye, Brain, and Vision",,,,New York: WH Freeman
"Hubel, DH; Wiesel, TN",1962,"Receptive fields, binocular interaction and functional architecture in the cat's visual cortex",Journal of Physiology,160,106-154,
"Hubel, DH; Wiesel, TN",1968,Receptive fields and functional architecture of the monkey striate cortex,Journal of Physiology,195,215-243,
"Hubel, DH; Wiesel, TN",1977,Functional architecture of macaque monkey visual cortex,Proceedings of the Royal Society of London,B198,1-59,
"Hubener, M; Shoham, D; Grinvald, A; Bonhoeffer, T",1997,Spatial relationships among three columnar systems in cat area 17,Journal of Neuroscience,17,9270-9284,
"Huber, PJ",1985,Projection pursuit,Annals of Statistics,13,435-475,
"Huguenard, JR; McCormick, DA",1992,Simulation of the currents involved in rhythmic oscillations in thalamic relay neurons,Journal of Neurophysiology,68,1373-1383,
"Humphrey, DR; Schmidt, EM; Thompson, WD",1970,Predicting measures of motor performance from multiple cortical spike trains,Science,170,758-761,
"Intrator, N; Cooper, LN",1992,Objective function formulation of the BCM theory of visual cortical plasticity,Neural Networks,5,3-17,
"Jack, JJB; Noble, D; Tsien, RW",1975,Electrical Current Flow in Excitable Cells,,,,Oxford: Oxford University Press
"Jahr, CE; Stevens, CF",1990,A quantitative description of NMDA receptor channel kinetic behavior,Journal of Neuroscience,10,1830-1837,
"Johnston, D; Wu, SM",1995,Foundations of Cellular Neurophysiology,,,,"Cambridge, MA: MIT Press"
"Jolliffe, IT",1986,Principal Component Analysis,,,,New York: Springer-Verlag
"Jones, J; Palmer, L",1987,The two-dimensional spatial structure of simple receptive fields in cat striate cortex,Journal of Neurophysiology,58,1187-1211,
"Jones, J; Palmer, L",1987,An evaluation of the two-dimensional Gabor filter model of simple receptive fields in cat striate cortex,Journal of Neurophysiology,58,1233-1258,
"Jordan, DW; Smith, P",1977,Nonlinear Ordinary Differential Equations,,,,Oxford: Clarendon Press
"Jordan, MI",1998,Learning in Graphical Models,,,,Dordrecht: Kluwer Academic Publishers
"Jordan, MI; Ghahramani, Z; Jaakkola, TS; Saul, LK",1998,An introduction to variational methods for graphical models,,,105-162,In Learning in Graphical Models. Dordrecht: Kluwer
"Kalaska, JF; Caminiti, R; Georgopoulos, AP",1983,Cortical mechanisms related to the direction of two-dimensional arm movements,Experimental Brain Research,51,247-260,
"Kandel, ER; Schwartz, JH",1985,Principles of Neural Science,,,,2nd ed. New York: McGraw-Hill
"Kandel, ER; Schwartz, JH; Jessel, TM",1991,Principles of Neural Science,,,,3rd ed. New York: McGraw-Hill
"Kandel, ER; Schwartz, JH; Jessel, TM",2000,Principles of Neural Science,,,,4th ed. New York: McGraw-Hill
"Karasaridis, A; Simoncelli, EP",1996,A filter design technique for steerable pyramid image transforms,,,2387-2390,In Proceedings of ICASSP
"Kawato, M; Hayakama, H; Inui, T",1993,A forward-inverse optics model of reciprocal connections between visual cortical areas,Network: Computation in Neural Systems,4,415-422,
"Kearns, MJ; Vazirani, UV",1994,An Introduction to Computational Learning Theory,,,,"Cambridge, MA: MIT Press"
"Kempter, R; Gerstner, W; van Hemmen, JL",1999,Hebbian learning and spiking neurons,Physical Review,E59,4498-4514,
"Koch, C",1998,Biophysics of Computation: Information Processing in Single Neurons,,,,New York: Oxford University Press
"Koch, C; Segev, I",1998,Methods in Neuronal Modeling: From Synapses to Networks,,,,"Cambridge, MA: MIT Press"
"Konorski, J",1967,Integrative Activity of the Brain,,,,Chicago: University of Chicago Press
"Lapicque, L",1907,Recherches quantitatives sur l'excitation electrique des nerfs traitee comme une polarization,Journal de Physiologie et Pathologie General,9,620-635,
"Laughlin, S",1981,A simple coding procedure enhances a neuron's information capacity,Zeitschrift fur Naturforschung,36,910-912,
"Lauritzen, SL",1996,Graphical Models,,,,Oxford: Clarendon Press
"Lee, C; Rohrer, WH; Sparks, DL",1988,Population coding of saccadic eye movements by neurons in the superior colliculus,Nature,332,357-360,
"Leen, TK",1991,Dynamics of learning in recurrent feature-discovery networks,,,70-76,In Advances in Neural Information Processing Systems 3
"LeMasson, G; Marder, E; Abbott, LF",1993,Activity-dependent regulation of conductances in model neurons,Science,259,1915-1917,
"Lewis, JE; Kristan, WB",1998,A neuronal network for computing population vectors in the leech,Nature,391,76-79,
"Li, Z",1995,Modeling the sensory computations of the olfactory bulb,,,221-251,In Models of Neural Networks Volume 2. New York: Springer-Verlag
"Li, Z",1996,A theory of the visual motion coding in the primary visual cortex,Neural Computation,8,705-730,
"Li, Z",1998,A neural model of contour integration in the primary visual cortex,Neural Computation,10,903-940,
"Li, Z",1999,Visual segmentation by contextual influences via intra-cortical interactions in the primary visual cortex,Network: Computation in Neural Systems,10,187-212,
"Li, Z; Atick, JJ",1994,Efficient stereo coding in the multiscale representation,Network: Computation in Neural Systems,5,157-174,
"Li, Z; Atick, JJ",1994,Toward a theory of the striate cortex,Neural Computation,6,127-146,
"Li, Z; Dayan, P",1999,Computational differences between asymmetrical and symmetrical networks,Network: Computation in Neural Systems,10,59-78,
"Li, Z; Hopfield, JJ",1989,Modeling the olfactory bulb and its neural oscillatory processings,Biological Cybernetics,61,379-392,
"Lindgren, BW",1993,Statistical Theory,,,,4th ed. New York: Chapman & Hall
"Linsker, R",1986,From basic network principles to neural architecture,Proceedings of the National Academy of Sciences USA,83,7508-7512; 8390-8394; 8779-8783,
"Linsker, R",1988,Self-organization in a perceptual network,Computer,21,105-117,
"Lisman, JE",1997,Bursts as a unit of neural information: making unreliable synapses reliable,Trends in Neuroscience,20,38-43,
"Liu, Z; Golowasch, J; Marder, E; Abbott, LF",1998,A model neuron with activity-dependent conductances regulated by multiple calcium sensors,Journal of Neuroscience,18,2309-2320,
"MacKay, DJC",1996,Maximum Likelihood and Covariant Algorithms for Independent Components Analysis,,,,Unpublished manuscript
"MacKay, DJC; Miller, KD",1990,Analysis of Linsker's application of Hebbian rules to linear networks,Network: Computation in Neural Systems,1,257-299,
"MacKay, DM",1956,The epistemological problem for automata,,,235-251,"In CE Shannon & J McCarthy, eds., Automata Studies. Princeton, NJ: Princeton University Press"
"Mackintosh, NJ",1983,Conditioning and Associative Learning,,,,Oxford: Oxford University Press
"Magleby, KL",1987,Short-term changes in synaptic efficacy,,,21-56,In Synaptic Function. New York: Wiley
"Mangel, M; Clark, CW",1988,Dynamic Modeling in Behavioral Ecology,,,,"Princeton, NJ: Princeton University Press"
"Mallat, SG",1998,A Wavelet Tour of Signal Processing,,,,"San Diego, CA: Academic Press"
"Marder, E; Calabrese, RL",1996,Principles of rhythmic motor pattern generation,Physiological Review,76,687-717,
"Markram, H; Lubke, J; Frotscher, M; Sakmann, B",1997,Regulation of synaptic efficacy by coincidence of postsynaptic APs and EPSPs,Science,275,213-215,
"Markram, H; Tsodyks, M",1996,Redistribution of synaptic efficacy between neocortical pyramidal neurons,Nature,382,807-810,
"Markram, H; Wang, Y; Tsodyks, MV",1998,Differential signalling via the same axon of neocortical pyramidal neurons,Proceedings of the National Academy of Sciences USA,95,5323-5328,
"Marmarelis, PZ; Marmarelis, VZ",1978,Analysis of Physiological Systems: The White-Noise Approach,,,,New York: Plenum Press
"Marom, S; Abbott, LF",1994,Modeling state-dependent inactivation of membrane currents,Biophysical Journal,67,515-520,
"Marr, D",1970,A theory for cerebral neocortex,Proceedings of the Royal Society of London,B176,161-234,
"Mascagni, M; Sherman, A",1998,Numerical methods for neuronal modeling,,,569-606,"In Methods in Neuronal Modeling. Cambridge, MA: MIT Press"
"Mathews, J; Walker, RL",1970,Mathematical Methods of Physics,,,,New York: Benjamin
"Mauk, MD; Donegan, NH",1997,A model of Pavlovian conditioning based on the synaptic organization of the cerebellum,Learning and Memory,4,130-158,
"McCormick, DA",1990,Membrane properties and neurotransmitter actions,,,,"In GM Shepherd, ed., The Synaptic Organization of the Brain. New York: Oxford University Press"
"Mehta, MR; Barnes, CA; McNaughton, BL",1997,"Experience-dependent, asymmetric expansion of hippocampal place fields",Proceedings of the National Academy of Sciences USA,94,8918-8921,
